id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Jungle,Brick Theory,hip-hop,energetic,0.85,96,0.63,0.84,0.12
12,Moonlight Sonata Dreams,Aria Collective,classical,peaceful,0.22,52,0.74,0.28,0.98
13,Silk & Rain,Velour,r&b,romantic,0.58,88,0.79,0.71,0.45
14,Iron Horizon,Dread Machine,metal,angry,0.97,168,0.31,0.55,0.04
15,Old Oak Road,Clara Finn,folk,nostalgic,0.33,76,0.67,0.44,0.93
16,Wide Open Sky,The Dusty Boots,country,uplifting,0.64,104,0.88,0.72,0.67
17,Voltage Rush,Circuit Drop,edm,energetic,0.94,140,0.58,0.91,0.03
18,Bayou Low,Marcus Hale,blues,melancholic,0.44,68,0.38,0.49,0.82
19,Island Pulse,Coral Sound,reggae,peaceful,0.55,84,0.82,0.76,0.58
20,Fuego Lento,Casa Ritmo,latin,romantic,0.71,112,0.86,0.87,0.31
